gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003.15,5301.552133833171,1.3065502623406997,0.1862119080507131,7.016469977767871,2.275437686128397e-12,5.60677678000187e-11
ENSG00000000419.13,2138.942898691271,-0.15497381315924652,0.1117367967582878,-1.386954142729635,0.16545574649619177,0.24859620817772599
ENSG00000000457.14,611.539781049124,0.5239530575479822,0.13673625129737524,3.831851850380806,0.00012718232108188947,0.0005144971169785988
ENSG00000000460.17,566.0398114411598,0.3480562001870528,0.20756857427424608,1.676825123475532,0.09357668339554945,0.15473683759079723
ENSG00000000938.13,513.7499252972123,-0.4220754016271644,0.21912564631209075,-1.9261798366861242,0.0540819225882135,0.09769499467881038
ENSG00000000971.16,3850.48641111935,-0.2299817185209866,0.24127876293413741,-0.9531784551786905,0.3404996605490387,0.44331669851905015
ENSG00000001036.14,2828.557023769038,-0.1765310870694926,0.13728241339513655,-1.285897317097621,0.19847890016328928,0.28810114535520365
ENSG00000001084.13,4139.265754980833,-0.6450607313023107,0.2848750824528931,-2.2643634738007585,0.023551768574857725,0.048242602801122934
ENSG00000001167.14,1628.3386622342528,0.39092559296709994,0.15310996561417728,2.5532341503635085,0.010672771997249897,0.02455506491067566
ENSG00000001460.18,892.7846698789723,0.8543230050811073,0.17545279068737007,4.869247173180503,1.1202421182813322e-06,7.918063701902625e-06
ENSG00000001461.17,1482.2746960454574,-0.22607275002027943,0.1467766813417958,-1.5402497723315363,0.12349948185893943,0.19471869525443722
ENSG00000001497.18,2802.594934106026,-0.27899166983266915,0.12244060132918137,-2.278587876929814,0.022691575266239074,0.046738439406093825
ENSG00000001561.7,601.4493383417301,1.563011979237602,0.2149067001438373,7.272979289112327,3.516442528189751e-13,1.0227147148926367e-11
ENSG00000001617.12,7039.087064925893,0.4268774392514655,0.1869690173302948,2.2831453325625306,0.022421809022148395,0.046296265958443474
ENSG00000001629.10,2526.827864249388,-0.02285263514063709,0.11416691151138839,-0.20016863763856388,0.8413486943135602,0.8869546152188442
ENSG00000001630.17,70.45944856032483,-0.19930125258066525,0.2325808862711894,-0.8569115707482511,0.39149375761041194,0.496227738966853
ENSG00000001631.16,299.23619117413114,0.21893294011619946,0.10381875935066544,2.1087994258987086,0.0349618981954305,0.06768145350223555
ENSG00000002016.18,373.552508881411,0.3398095146955966,0.1229413951568677,2.763995920674358,0.005709825312729852,0.014334713957288922
ENSG00000002330.14,640.7915319934925,-0.1424002846199335,0.14002602483866322,-1.0169558464864363,0.3091744343825362,0.4108687635277533
ENSG00000002549.12,5690.202592227848,-1.1277938027184102,0.17637176508053667,-6.3944124061094785,1.611659054187698e-10,2.7231068908163993e-09
ENSG00000002586.20,11951.407181852781,0.02609837048189981,0.18864931462144735,0.13834330929995708,0.8899690986887995,0.9215991049201674
ENSG00000002587.10,1461.3682267274714,-0.5256239553275319,0.27310684314790873,-1.9246092454844328,0.05427826188040174,0.0979720786168183
ENSG00000002726.21,233.8298558984211,0.9658993813898709,0.45901961315558526,2.1042660350604194,0.03535524708844779,0.0683434903463978
ENSG00000002746.15,107.63267026375448,-0.9328771501639559,0.3057393687510318,-3.051216969456138,0.002279158123894496,0.006463821982988173
ENSG00000002822.15,26.451216335888816,-0.7737083398430602,0.24778869666716524,-3.1224521144413653,0.001793512791129889,0.005239117953891499
