,Frequency
SLC7A2,2
SLC1A4,2
CTLA4,2
SLC38A5,2
ERAP2,2
PAQR7,2
SLPI,2
ATP1B3,2
CLEC3B,2
S100A10,2
C1QTNF3,2
PRKG1,2
TAP1,2
BOC,2
TAP2,2
TAFA5,2
CDK5R1,2
SGCD,2
CNN1,2
FLRT3,2
ADA,2
S1PR1,2
DNAJA4,2
BMP8B,2
IRX3,2
C1QC,2
C1QB,2
PAQR8,2
S100A14,2
DENND2B,2
TXN,2
DOK2,2
DOK5,2
DOK6,2
ADRB2,2
P2RY1,2
KCNQ1,2
C2CD4B,2
ZFHX3,2
RYR2,2
DPF1,2
TNFSF9,2
FAS,2
PANX1,2
ANK2,2
CACNA1C,2
FCGR3A,2
NLGN3,2
C1QA,2
RAB39B,2
HMCN2,2
SNCG,2
CTSV,2
HSD17B2,2
ZNF675,2
TFPI,2
ARVCF,2
RHCG,2
DSP,2
IL27RA,2
IL17D,2
IL13RA2,2
PDE1B,2
LRP8,2
IL2RB,2
PLP2,2
NFATC4,2
RAB7B,2
TSPAN6,2
BEX4,2
TLR1,2
ARHGEF25,2
DHRS9,2
AKR1C1,2
KALRN,2
CBR1,2
PKP3,2
TMPRSS4,2
DCHS1,2
MT1X,2
MT2A,2
PKP1,2
FSCN1,2
GJA4,2
POLR3G,2
TGM1,2
UPK2,2
KRT5,2
UPK1B,2
CTSB,2
FN3K,2
CMKLR1,2
ATP1A1,2
LIMS2,2
ANXA2,2
PLEKHG4B,2
ANXA3,2
VASH2,2
RHOJ,2
HOPX,2
SIX2,2
THBD,2
ENPP4,2
CLIP3,2
TP73,2
ABCA8,2
BAK1,2
DOC2B,2
HOXD10,1
ABCB4,1
HLA-B,1
ITGB1BP2,1
ITGA7,1
APOLD1,1
HLA-F,1
MYH3,1
SGCA,1
TEAD4,1
HLA-C,1
KREMEN2,1
DES,1
LIMCH1,1
CACNA1H,1
HPGD,1
S100A2,1
PIWIL4,1
POU5F1,1
SFN,1
ANLN,1
MGAT3,1
FAT2,1
S100P,1
CGAS,1
ULBP2,1
IFIH1,1
CLN3,1
ADGRG3,1
CCN5,1
TXK,1
NOX5,1
PMEPA1,1
TBX21,1
APOBEC3A,1
RAP2B,1
ITGA8,1
SRCIN1,1
SLC47A1,1
FGFBP3,1
ITGA3,1
CNTNAP1,1
IFIT2,1
CACNB4,1
KIF5A,1
CNTN4,1
QPRT,1
ME1,1
SARM1,1
NMNAT2,1
GPD1L,1
LRRC4,1
NRXN2,1
LRRC4B,1
CACNB2,1
SDK1,1
CACNB3,1
LRFN4,1
RASSF2,1
PPFIBP2,1
PDZRN3,1
ILDR2,1
MFAP4,1
MYH11,1
FBLN5,1
PLK1,1
PKIA,1
PKIG,1
SCNN1G,1
SCNN1B,1
TMPRSS2,1
ASRGL1,1
KIF5C,1
EFNB1,1
NRXN3,1
CYFIP2,1
PHLDA1,1
GZMA,1
TNFRSF10A,1
MELK,1
STK17A,1
KCNMA1,1
LDB2,1
PDLIM4,1
CLDN11,1
GJB2,1
GJB6,1
BATF2,1
UCP2,1
CHRDL2,1
CAPN5,1
TFAP2E,1
JAG2,1
CDCA7,1
KCNH2,1
SLC44A3,1
GCNT1,1
FMO3,1
NAGS,1
BCAT2,1
CHADL,1
SMAD9,1
FAM83G,1
JAM2,1
ST3GAL5,1
IFITM3,1
DUSP2,1
SYDE2,1
PREX2,1
FGD1,1
ARHGAP6,1
ARHGEF10L,1
ARHGEF28,1
DOCK3,1
PDK4,1
ADCY5,1
GNAI1,1
INSIG1,1
PEBP1,1
SOX15,1
DLK2,1
SRMS,1
PLIN5,1
CYP26B1,1
FAIM2,1
DCUN1D5,1
TMEM97,1
RASGRP2,1
KLF2,1
YBX3,1
NPAS2,1
ARHGAP22,1
SPRR1B,1
GJB5,1
COL7A1,1
B4GALT6,1
OASL,1
IL18RAP,1
IL15RA,1
RHOU,1
ARHGEF4,1
PLEKHG6,1
ARHGEF15,1
PLEKHG1,1
RALBP1,1
CGNL1,1
MCF2L,1
ARHGAP40,1
SCCPDH,1
COL17A1,1
LAMB3,1
LAMA3,1
GRHL3,1
EVPL,1
ARHGAP20,1
ALDH3A2,1
STS,1
FGD3,1
CELSR2,1
CREB3L2,1
MMP12,1
CD96,1
G0S2,1
ADM,1
GPR68,1
CD109,1
MMRN1,1
