gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000267280.5,376.69551536837463,4.272548410600877,0.2842600706161729,15.030420562900513,4.6405019124086223e-51,7.409489403542847e-47
ENSG00000121068.14,4290.625531626239,3.5604452791628813,0.23761678589174945,14.983980470070433,9.344855235971768e-51,7.460465177638061e-47
ENSG00000092295.12,1257.145067872847,-5.031444648185913,0.33754675309829313,-14.905919260081768,3.0163250813179165e-50,1.6053887524467723e-46
ENSG00000021355.13,8455.120634377576,-2.665120934194539,0.17986785261630212,-14.817105421722198,1.1357409709700353e-49,4.5335940208696384e-46
ENSG00000164086.10,3871.779564575332,-2.431403738314245,0.1760162799854972,-13.813516218582617,2.1126248122032243e-43,6.746456075289777e-40
ENSG00000124102.5,17447.711975079415,-7.071285448358889,0.524975655094786,-13.469739748373941,2.356952933569872e-41,6.272244581718358e-38
ENSG00000183248.12,415.25509783690507,3.8269352145906557,0.29093244422184616,13.154033833615626,1.6133255119693186e-39,3.679995492802016e-36
ENSG00000095739.11,3478.665728017499,4.0218584860901085,0.30754907958078886,13.077127369628894,4.449394414866457e-39,8.88043507777159e-36
ENSG00000132677.13,466.5311486692573,4.464220071136687,0.3436823751732249,12.989377383366262,1.4056592231958063e-38,2.4937956463074934e-35
ENSG00000117643.14,2183.787180923387,3.6486040709355936,0.28477002224302206,12.812458425914942,1.3963924146901478e-37,2.229619768535759e-34
ENSG00000182197.12,4037.215613111779,-1.7698224555329176,0.14059017497085396,-12.588521608283246,2.4420423409447055e-36,3.544735459805828e-33
ENSG00000053747.17,7886.178292651807,-4.271845118948203,0.3404163270718774,-12.548884349034827,4.031500276761157e-36,5.364247076587116e-33
ENSG00000110375.3,14846.874586427344,5.063164822403867,0.40931938558770464,12.369716658140018,3.811635975116782e-35,4.681568585745359e-32
ENSG00000163032.12,663.9038948342113,-4.018278919825012,0.32934591019069265,-12.200785847009339,3.078385576204243e-34,3.5108987496609393e-31
ENSG00000155380.12,3115.05346869471,-2.7692440774484686,0.22783321848391774,-12.154698493380337,5.416123653722118e-34,5.7652830919320705e-31
ENSG00000143869.7,237.90698665603725,3.3606003281714485,0.2766592378476428,12.14707433706639,5.945531062560772e-34,5.933268404744241e-31
ENSG00000260912.1,3782.0043308037275,3.425200314981114,0.28652940257607523,11.954097150890835,6.18015783835084e-33,5.19360948447094e-30
ENSG00000168280.18,490.85840011524147,3.2997674731508355,0.27588787216862254,11.960538341946467,5.718994743207437e-33,5.19360948447094e-30
ENSG00000167861.16,3044.0935264222944,2.807690023812624,0.23486989246544052,11.954235574173289,6.169869293830676e-33,5.19360948447094e-30
ENSG00000153093.20,482.7564922590741,2.6436121976666227,0.2233565951554786,11.835836751658949,2.5478976731024514e-32,2.034114107321342e-29
ENSG00000205420.11,83858.48931472591,-6.181496643588,0.5233141250934062,-11.812210577126438,3.3756758698662043e-32,2.5666388863882707e-29
ENSG00000005187.12,363.99716948057744,3.251342965858462,0.27652874418001977,11.757703436941233,6.446392635294533e-32,4.596240343579684e-29
ENSG00000172005.11,3067.185546908186,4.973280723950822,0.42306172473406717,11.755449460896,6.62075079240513e-32,4.596240343579684e-29
ENSG00000109084.14,8393.852694343475,3.2990371870757893,0.28081208130924323,11.748202469404218,7.213701510140783e-32,4.799215500517412e-29
ENSG00000088340.17,6067.617986534348,3.128430367313839,0.26684522815374395,11.723763579955724,9.629678034843735e-32,6.150282767293996e-29
ENSG00000158786.5,3563.992621864711,4.394856527895353,0.3750296271664716,11.718691563385535,1.0223885425760195e-31,6.278645330504348e-29
ENSG00000116574.6,3779.271138754822,3.0092262266558465,0.25723139305705317,11.698518562967191,1.2969793053030386e-31,7.669951321397635e-29
ENSG00000170425.3,561.7377070735698,-2.7198914124990026,0.23360628186075566,-11.643057673081893,2.4892837481131686e-31,1.4195140573615343e-28
ENSG00000101049.17,263.20476304695825,4.0888642411080225,0.35133158372913637,11.638191470597718,2.6354468129793946e-31,1.4510406642359308e-28
ENSG00000058085.15,21038.01620610258,-4.036937913957649,0.3481701909633288,-11.594725851710956,4.382667358474179e-31,2.3326016570919074e-28
ENSG00000128641.19,5335.7738213013945,-2.0550944664052615,0.17786504458557045,-11.554234679409198,7.027069342727139e-31,3.619394070816911e-28
ENSG00000175356.14,3014.6063528288655,4.303326671050632,0.37297780757677773,11.537755286324346,8.511748290313226e-31,4.247096404732227e-28
ENSG00000237440.9,1470.5624526125634,3.6016914663082815,0.31303369690275457,11.505762804274596,1.233935062652879e-30,5.970376104660157e-28
ENSG00000100867.15,41342.19619930678,5.147261741935203,0.4515150352271023,11.399978606130453,4.18221845018788e-30,1.964043588063232e-27
ENSG00000102547.19,2176.884474491484,2.5047045056454014,0.22036180768600644,11.366327640651573,6.152190369475263e-30,2.806629246554615e-27
ENSG00000101224.17,5425.942518405821,-2.134062865180906,0.18889014805638468,-11.297904560612007,1.343863660038543e-29,5.9604086277320594e-27
ENSG00000149260.18,3200.7192986519062,2.781729118632598,0.24645858838002963,11.286801311802042,1.5248545099423557e-29,6.580365394662052e-27
ENSG00000147509.14,217.838503232347,-3.315626699750657,0.2943338470424252,-11.264850213685222,1.956844088478742e-29,8.222349884405282e-27
ENSG00000263155.6,286.81017496730334,2.4388210011241114,0.21798328932637634,11.188109917327548,4.662667428209103e-29,1.9089438673388397e-26
ENSG00000156463.18,682.300214625137,-3.0963378725509765,0.27715580414721547,-11.171831245166022,5.601399117766165e-29,2.235938492834309e-26
